title,link,company_name,snippet,salary
Lead Frontend Developer,https://uk.indeed.com/viewjob?jk=86375a578a7a58d4,Salt Recruitment,"However, they plan to grow 3 more teams from this squad, so there’s plenty of opportunity for you to progress into a Principal Engineer, and even a Head of…","£70,000 - £100,000 a year"
Cloud Application Security Engineer,https://uk.indeed.com/viewjob?jk=d19391f179a81de6,Dyson,"In addition, you will explore innovative ways to improve our overall security posture and deal with common security challenges presented by our cloud workloads.",None Given
Cloud Software Engineer (Platform),https://uk.indeed.com/viewjob?jk=7f4d873e2d747722,Dyson,"Intermediate to advanced programming skills in 1 language, preferably python.The Platform Team is responsible for automating, designing, building, and…",None Given
"DevOps Engineer, Systems Design & Engineering, Systems Engin...",https://uk.indeed.com/viewjob?jk=89ece28caad4a1f0,Deloitte,"As a senior engineer in Systems Design and Engineering team (SD&E), we need you to lead, guide, plan, explain, working alongside clients cracking problems with…",None Given
Platform Software Engineer,https://uk.indeed.com/viewjob?jk=70854ba9ecdb9b34,Linux Recruit,"If your background lies in software development and you've made the move into Platforms, this could be the ideal one for you.","£60,000 - £80,000 a year"
Robotics Software Engineer,https://uk.indeed.com/viewjob?jk=ed1bafbe03b48b45,Dyson,"Working in an agile cross-functional team, the successful candidate will contribute to the delivery of software and algorithmic solutions for robotics…",None Given
"Consultant/Senior Consultant - DevOps Engineer, Systems Desi...",https://uk.indeed.com/viewjob?jk=6610766575a25e25,Deloitte,Native and Hybrid Mobile App Development.Alternative JVM Languages and frameworks.Micro-services and cloud native design.,None Given
Perl + C# Software Engineer,https://uk.indeed.com/viewjob?jk=d56b5e783961af25,n.able technology services,"Your role will be to design, develop, test and deploy and support the software tools required by the R&D and QA teams.Test scripting languages Python, Ruby.",None Given
Senior Cloud Engineer,https://uk.indeed.com/viewjob?jk=6a6157e62124f998,Dyson,Working closely alongside Mobile Application developers and Embedded engineers you will be responsible for building and maintaining prototype cloud-based…,None Given
Cloud Architect,https://uk.indeed.com/viewjob?jk=2ef8e9557a86da84,Aviva,"Scripting experience, including either shell, python, groovy, terraform, yaml or ansible.Work with Engineers to implement strategic Data Products into the…","£50,000 - £60,000 a year"
DevOps Engineer,https://uk.indeed.com/viewjob?jk=720d239ca7eae4d7,Linux Recruit,"We are looking for someone to to build, maintain and document software development infrastructure in both cloud and traditional database installations.","£65,000 - £75,000 a year"
System Integration Engineer,https://uk.indeed.com/viewjob?jk=dfacd9c4a37b0ab2,Dyson,"You will have the opportunity to work with a wide range of dynamic teams to support the de-risking and development of new technologies, you will define and…",None Given
Software Engineer,https://uk.indeed.com/viewjob?jk=7d83d43f39bff05c,Omega Resource Group,To apply functional specifications and use engineering tools to design and develop embedded firmware for downhole tools and interface systems.,"£45,000 - £60,000 a year"
Senior Software Engineer - Python & LabVIEW,https://uk.indeed.com/viewjob?jk=5b922affcdbd75de,Dyson,Developing software applications in LabVIEW and Python to support the development of critical projects within the team. Digital GP and prescription service.,None Given
Google Cloud Engineer,https://uk.indeed.com/viewjob?jk=740bebf2bc9625dd,BT,"Responsible for ensuring security is designed into BT’s future networks and services, the Security Specialists will lead on, and be accountable for, ensuring…",None Given
Python Systems Developer,https://uk.indeed.com/viewjob?jk=ec7840210b482e71,Oscar Technology,My Client is looking for a Python Systems Developer to join their team on a brand new project kicking off at the start of August for an initial 6 months.,None Given
Software Engineer (Robotics),https://uk.indeed.com/viewjob?jk=0c885303ca7ee936,Dyson,"Experience of maintaining tools and software across a variety of technologies, preferably in python. Working in an agile cross-functional team, the successful…",None Given
Embedded Software Engineer,https://uk.indeed.com/viewjob?jk=67b2a42d4a14d161,Dyson,"As you work with your team to deliver those commitments, you will be designing and developing innovative solutions to meet the product needs.",None Given
"Software Development Engineer, Security",https://uk.indeed.com/viewjob?jk=8cf76c14027b2672,Amazon Dev Centre (London) Ltd,"BS or MS in a STEM related field. Software development experience with at least one modern language such as Java, Go, TypeScript, Python.",None Given
Desktop Software Engineer,https://uk.indeed.com/viewjob?jk=a01ffc92b5b3c2af,Schlumberger,"On site, tools can be monitored using state of-the-art hardware and connectivity that link SHTC to all field locations. Develop and execute unit tests.",None Given
AWS Cloud Engineer - BRISTOL,https://uk.indeed.com/viewjob?jk=30245d3d0e51269a,The People Network,"Day-to-day you will help design and deliver transformative cloud solutions, from migrating legacy applications onto AWS to building new cloud-native…","£45,000 - £75,000 a year"
Software Developer,https://uk.indeed.com/viewjob?jk=7168e139ecaabb69,Certes,"Minimum of 3 years of developing python frameworks such as Django and Flask. Day to day activities will include writing, testing and documenting python code and…",£450 a week
Application Engineer,https://uk.indeed.com/viewjob?jk=9c2da3f04e18baf6,Ascom,"As an Application Engineer with Ascom (UK) Ltd, you’ll provide technical expertise by performing hands-on configuration, both onsite and remotely, during…",None Given
Lead Embedded Software Engineer,https://uk.indeed.com/viewjob?jk=b684a7401b0a35bf,Dyson,The New Product Innovation Software Team (NST) is responsible for ensuring the next generation of both connected and non-connected products and technologies are…,None Given
Cloud Software Engineer,https://uk.indeed.com/viewjob?jk=c2c367f6cbc97a8c,ADLIB,"Progressive tech & tooling, be involved in MLOps research. Their technology is used in a variety of fields including VR/AR, spatial computing, immersive 3D…","£50,000 - £75,000 a year"
Senior System Verification Engineer,https://uk.indeed.com/viewjob?jk=e9150dbd54e76828,Dyson,"At Dyson we are encouraged to think differently, challenge convention and be unafraid to make mistakes.But most of all we’re hugely passionate about what we do…",None Given
AWS Public Cloud Specialist Engineer,https://uk.indeed.com/viewjob?jk=6569a2fc7c96d8af,BT,Our mission is to break down the barriers of today to release the potential of tomorrow.Join us today and release yours.And we're on a mission.,None Given
Senior Developer,https://uk.indeed.com/viewjob?jk=e4059e22136558e4,Visionist Consulting,Smarter Technologies’ ability to flex and deliver small bespoke solutions and major transformation programmes is built on a model where the client’s needs and…,None Given
Cloud Platform Engineer,https://uk.indeed.com/viewjob?jk=daa64aec5036d790,Unite Students,"We`re all about creating a Home for Success for our students, using technology and data to empower them to find their home, their tribe and have a great stay…",None Given
Senior Full-Stack Developer,https://uk.indeed.com/viewjob?jk=6093dbf3c5198d26,ADLIB,"You will also offer advice, support and coaching to one other developer, and potentially others down the line as the team grows.The skills we’re looking for:","Up to £70,000 a year"
Embedded Software Engineer in Test,https://uk.indeed.com/viewjob?jk=24ed0b4c81d1f4de,Dyson,"Dyson is a global technology enterprise.We solve the problems others choose to ignore, with surprising new inventions that defy convention and simply work…",None Given
ServiceNow Platform Engineer,https://uk.indeed.com/viewjob?jk=8ea439520ad0eace,Chorus Global,"You will be responsible for the ongoing development and configuration of Chorus’ ServiceNow environment spanning CSM, ITSM and ITOM modules, as well as any…",None Given
"Senior Consultant - Senior Backend Developer, TechWorks - Sy...",https://uk.indeed.com/viewjob?jk=129c9ad26c6c421b,Deloitte,"We are obsessed with connecting with, inspiring, and educating developers.For us, developers are not people who sit in a room somewhere churning out code.",None Given
AWS DevOps Engineer,https://uk.indeed.com/viewjob?jk=657eda1236f8aa77,Version 1,Version 1 is celebrating 25 years in the IT industry this year and we continue to be trusted by global brands to deliver IT solutions that drive customer…,None Given
Software Engineer,https://uk.indeed.com/viewjob?jk=bae2073b3c06398e,RENISHAW PLC,"Renishaw’s Machine Tool Products leads the market in delivering innovative, high accuracy measurement solutions to CNC machining processes around the world.",None Given
